run_dir,topology,nodes,duration,metrics_every,bootstrapped_ms,converged_ms,final_nodes_total,final_nodes_online,final_edges_total
experiments/out/paper_bootstrap_20260208T112343Z/chain/n4/rep1/run-20260208T112716465478000Z,chain,4,20s,500ms,1908,1908,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/chain/n4/rep2/run-20260208T112739403076000Z,chain,4,20s,500ms,1906,1906,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/chain/n4/rep3/run-20260208T112802336264000Z,chain,4,20s,500ms,1901,1901,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/chain/n6/rep1/run-20260208T112825259571000Z,chain,6,20s,500ms,3136,3136,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/chain/n6/rep2/run-20260208T112849424354000Z,chain,6,20s,500ms,3138,3138,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/chain/n6/rep3/run-20260208T112913592330000Z,chain,6,20s,500ms,3139,3139,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/chain/n8/rep1/run-20260208T112937760680000Z,chain,8,20s,500ms,4368,4368,8,8,8
experiments/out/paper_bootstrap_20260208T112343Z/chain/n8/rep2/run-20260208T113003159412000Z,chain,8,20s,500ms,4378,4378,8,8,8
experiments/out/paper_bootstrap_20260208T112343Z/chain/n8/rep3/run-20260208T113028567138000Z,chain,8,20s,500ms,4369,4369,8,8,8
experiments/out/paper_bootstrap_20260208T112343Z/star/n4/rep1/run-20260208T112344348555000Z,star,4,20s,500ms,1795,1795,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/star/n4/rep2/run-20260208T112407170960000Z,star,4,20s,500ms,1594,1594,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/star/n4/rep3/run-20260208T112429792615000Z,star,4,20s,500ms,1593,1593,4,4,4
experiments/out/paper_bootstrap_20260208T112343Z/star/n6/rep1/run-20260208T112452412552000Z,star,6,20s,500ms,2514,2514,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/star/n6/rep2/run-20260208T112515958048000Z,star,6,20s,500ms,2520,2520,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/star/n6/rep3/run-20260208T112539507305000Z,star,6,20s,500ms,2517,2517,6,6,6
experiments/out/paper_bootstrap_20260208T112343Z/star/n8/rep1/run-20260208T112603054597000Z,star,8,20s,500ms,3433,3433,8,8,8
experiments/out/paper_bootstrap_20260208T112343Z/star/n8/rep2/run-20260208T112627518674000Z,star,8,20s,500ms,3441,3441,8,8,8
experiments/out/paper_bootstrap_20260208T112343Z/star/n8/rep3/run-20260208T112651993905000Z,star,8,20s,500ms,3441,3441,8,8,8
